iter	Passed	Remaining
1047	3034	1308
1048	3036	1305
1049	3039	1302
1050	3042	1299
1051	3045	1296
1052	3048	1294
1053	3051	1291
1054	3055	1288
1055	3058	1285
1056	3061	1283
1057	3064	1280
1058	3067	1277
1059	3069	1274
1060	3072	1271
1061	3075	1268
1062	3077	1265
1063	3080	1262
1064	3083	1259
1065	3085	1256
1066	3088	1253
1067	3090	1250
1068	3093	1247
1069	3095	1244
1070	3098	1241
1071	3101	1238
1072	3103	1235
1073	3108	1232
1074	3111	1229
1075	3113	1226
1076	3116	1223
1077	3118	1220
1078	3121	1218
1079	3124	1215
1080	3127	1212
1081	3129	1209
1082	3132	1206
1083	3135	1203
1084	3138	1200
1085	3140	1197
1086	3143	1194
1087	3146	1191
1088	3148	1188
1089	3151	1185
1090	3154	1182
1091	3156	1179
1092	3159	1176
1093	3162	1173
1094	3164	1170
1095	3167	1167
1096	3170	1164
1097	3173	1161
1098	3176	1158
1099	3178	1155
1100	3181	1153
1101	3184	1150
1102	3186	1147
1103	3189	1144
1104	3192	1141
1105	3194	1138
1106	3197	1135
1107	3200	1132
1108	3202	1129
1109	3205	1126
1110	3207	1123
1111	3210	1120
1112	3213	1117
1113	3215	1114
1114	3218	1111
1115	3221	1108
1116	3224	1105
1117	3226	1102
1118	3229	1099
1119	3231	1096
1120	3234	1093
1121	3237	1090
1122	3239	1087
1123	3242	1084
1124	3247	1082
1125	3249	1079
1126	3252	1076
1127	3254	1073
1128	3257	1070
1129	3260	1067
1130	3263	1064
1131	3265	1061
1132	3268	1058
1133	3271	1055
1134	3273	1052
1135	3276	1049
1136	3279	1046
1137	3281	1043
1138	3284	1040
1139	3286	1037
1140	3289	1034
1141	3292	1031
1142	3294	1029
1143	3297	1026
1144	3300	1023
1145	3302	1020
1146	3305	1017
1147	3308	1014
1148	3310	1011
1149	3313	1008
1150	3315	1005
1151	3319	1002
1152	3322	999
1153	3324	996
1154	3327	993
1155	3330	990
1156	3332	988
1157	3335	985
1158	3338	982
1159	3340	979
1160	3343	976
1161	3346	973
1162	3348	970
1163	3351	967
1164	3354	964
1165	3356	961
1166	3359	958
1167	3361	955
1168	3364	952
1169	3366	949
1170	3369	946
1171	3372	943
1172	3374	940
1173	3377	937
1174	3380	935
1175	3384	932
1176	3387	929
1177	3390	926
1178	3393	923
1179	3395	920
1180	3398	917
1181	3401	915
1182	3403	912
1183	3406	909
1184	3409	906
1185	3411	903
1186	3414	900
1187	3417	897
1188	3419	894
1189	3422	891
1190	3425	888
1191	3428	885
1192	3431	882
1193	3433	880
1194	3436	877
1195	3439	874
1196	3442	871
1197	3445	868
1198	3448	865
1199	3451	862
1200	3453	859
1201	3456	856
1202	3459	854
1203	3462	851
1204	3464	848
1205	3467	845
1206	3470	842
1207	3472	839
1208	3475	836
1209	3478	833
1210	3481	830
1211	3483	827
1212	3486	824
1213	3489	821
1214	3492	819
1215	3495	816
1216	3497	813
1217	3500	810
1218	3503	807
1219	3505	804
1220	3508	801
1221	3511	798
1222	3513	795
1223	3516	792
1224	3519	790
1225	3522	787
1226	3526	784
1227	3529	781
1228	3531	778
1229	3534	775
1230	3537	772
1231	3539	770
1232	3542	767
1233	3545	764
1234	3547	761
1235	3550	758
1236	3552	755
1237	3555	752
1238	3558	749
1239	3560	746
1240	3563	743
1241	3566	740
1242	3569	738
1243	3572	735
1244	3577	732
1245	3580	729
1246	3584	727
1247	3588	724
1248	3592	721
1249	3595	719
1250	3599	716
1251	3601	713
1252	3604	710
1253	3607	707
1254	3609	704
1255	3612	701
1256	3614	698
1257	3617	695
1258	3620	692
1259	3622	690
1260	3625	687
1261	3628	684
1262	3631	681
1263	3634	678
1264	3637	675
1265	3639	672
1266	3642	669
1267	3644	666
1268	3647	663
1269	3649	660
1270	3652	658
1271	3654	655
1272	3657	652
1273	3660	649
1274	3664	646
1275	3667	643
1276	3669	640
1277	3672	637
1278	3674	635
1279	3677	632
1280	3680	629
1281	3683	626
1282	3685	623
1283	3688	620
1284	3691	617
1285	3694	614
1286	3696	611
1287	3699	608
1288	3702	606
1289	3705	603
1290	3707	600
1291	3710	597
1292	3712	594
1293	3714	591
1294	3717	588
1295	3720	585
1296	3722	582
1297	3725	579
1298	3727	576
1299	3730	573
1300	3733	571
1301	3735	568
1302	3738	565
1303	3740	562
1304	3743	559
1305	3746	556
1306	3748	553
1307	3751	550
1308	3753	547
1309	3756	544
1310	3759	541
1311	3761	539
1312	3764	536
1313	3766	533
1314	3769	530
1315	3772	527
1316	3774	524
1317	3777	521
1318	3780	518
1319	3782	515
1320	3785	512
1321	3790	510
1322	3792	507
1323	3795	504
1324	3798	501
1325	3801	498
1326	3803	495
1327	3806	492
1328	3808	490
1329	3811	487
1330	3814	484
1331	3816	481
1332	3821	478
1333	3823	475
1334	3826	472
1335	3829	470
1336	3831	467
1337	3834	464
1338	3836	461
1339	3839	458
1340	3841	455
1341	3844	452
1342	3847	449
1343	3849	446
1344	3852	443
1345	3855	441
1346	3857	438
1347	3860	435
1348	3863	432
1349	3866	429
1350	3868	426
1351	3871	423
1352	3874	420
1353	3876	418
1354	3879	415
1355	3882	412
1356	3885	409
1357	3887	406
1358	3890	403
1359	3893	400
1360	3895	397
1361	3898	394
1362	3901	392
1363	3903	389
1364	3906	386
1365	3909	383
1366	3912	380
1367	3914	377
1368	3917	374
1369	3920	371
1370	3922	369
1371	3927	366
1372	3929	363
1373	3932	360
1374	3935	357
1375	3937	354
1376	3941	352
1377	3944	349
1378	3947	346
1379	3949	343
1380	3952	340
1381	3955	337
1382	3958	334
1383	3960	331
1384	3963	329
1385	3966	326
1386	3968	323
1387	3971	320
1388	3974	317
1389	3977	314
1390	3980	311
1391	3982	309
1392	3985	306
1393	3988	303
1394	3990	300
1395	3993	297
1396	3996	294
