Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState
2025-12-04 01:51:16.582197,1,2,3,21,95,0,0
2025-12-04 01:51:29.450895,1,1,2,22,95,0,0
2025-12-04 01:51:43.367822,1,1,1,23,95,0,0
2025-12-04 01:51:56.180010,1,1,1,25,95,0,0
2025-12-04 01:52:09.995826,1,2,1,25,93,0,0
2025-12-04 01:52:22.910757,1,1,1,25,81,0,0
2025-12-04 01:52:36.824607,1,2,1,25,71,0,0
2025-12-04 01:52:49.648326,1,1,2,25,81,0,0
2025-12-04 01:53:02.502852,1,1,1,19,80,0,0
2025-12-04 01:53:16.368906,1,1,1,23,85,0,0
2025-12-04 01:53:29.188713,1,1,1,25,89,0,0
2025-12-04 01:53:43.106450,1,1,1,25,89,0,0
2025-12-04 01:53:56.419576,1,1,1,20,89,0,0
2025-12-04 01:54:09.281941,1,1,1,17,81,0,0
2025-12-04 01:54:22.093154,1,1,1,18,81,0,0
2025-12-04 01:54:35.959977,1,2,1,21,81,0,0
2025-12-04 01:54:48.878179,1,1,2,23,79,0,0
2025-12-04 01:55:02.199015,1,1,2,23,63,0,0
2025-12-04 01:55:15.013355,1,1,1,24,67,0,0
2025-12-04 01:55:27.929924,1,1,1,20,68,0,0
2025-12-04 01:55:41.237112,1,2,1,23,80,0,0
2025-12-04 01:55:55.104076,1,2,1,24,86,0,0
2025-12-04 01:56:08.018237,1,1,2,25,86,0,0
2025-12-04 01:56:21.387275,1,1,1,21,86,0,0
2025-12-04 01:56:34.150254,1,2,1,18,74,0,0
2025-12-04 01:56:48.016975,1,2,1,23,86,0,0
2025-12-04 01:57:00.932046,1,1,2,25,92,0,0
2025-12-04 01:57:13.745431,1,1,1,25,98,0,0
2025-12-04 01:57:26.618328,1,1,1,25,90,0,0
2025-12-04 01:57:40.482559,1,1,1,25,97,0,0
2025-12-04 01:57:53.343793,1,1,1,20,102,0,0
2025-12-04 01:58:06.758546,1,1,2,14,78,0,0
2025-12-04 01:58:20.674522,1,1,1,15,73,0,0
